# 2288 distinct multisets of maximal run lengths
# count  multiset
1 6,5,4,3,3,3,3,2,2,2,2,2,2
1 6,5,4,3,3,3,3,2,2,2,2,2,2,2,2,2
1 6,5,4,3,3,3,3,3,2,2,2
1 6,5,4,3,3,3,3,3,2,2,2,2,2,2
1 6,5,4,4,2,2,2,2,2,2,2,2
1 6,5,4,4,3,2,2,2,2,2,2,2,2,2
1 6,5,4,4,3,3,2,2,2,2,2
1 6,5,4,4,3,3,2,2,2,2,2,2
1 6,5,4,4,3,3,2,2,2,2,2,2,2,2,2
1 6,5,4,4,3,3,3,3,2,2,2,2,2
1 6,5,5,3,3,2,2,2,2,2,2,2,2,2
1 6,5,5,3,3,3,3,2,2,2,2,2,2
1 6,5,5,3,3,3,3,2,2,2,2,2,2,2,2
1 6,5,5,4,2,2,2,2,2,2,2,2,2,2
1 6,6,3,2,2,2,2,2,2,2
1 6,6,3,2,2,2,2,2,2,2,2,2
1 6,6,3,2,2,2,2,2,2,2,2,2,2,2,2
1 6,6,3,3,2,2,2,2,2,2,2,2
1 6,6,3,3,2,2,2,2,2,2,2,2,2
1 6,6,3,3,2,2,2,2,2,2,2,2,2,2
1 6,6,3,3,2,2,2,2,2,2,2,2,2,2,2,2
1 6,6,3,3,3,2,2,2,2,2
1 6,6,3,3,3,2,2,2,2,2,2,2,2,2,2
1 6,6,3,3,3,2,2,2,2,2,2,2,2,2,2,2
1 6,6,3,3,3,3,3,2,2,2,2,2
1 6,6,4,3,2,2,2,2,2,2,2,2,2,2
1 6,6,4,3,3,2,2,2,2,2,2,2,2
1 6,6,4,4,3,2,2,2,2,2,2,2,2,2
1 7,2,2,2,2,2,2,2,2,2
1 7,3,2,2,2,2,2,2,2,2,2
1 7,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,3,3,3,2,2,2,2,2
1 7,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,3,3,3,3,2,2,2,2
1 7,3,3,3,3,3,2,2,2,2,2
1 7,3,3,3,3,3,3,2,2,2,2
1 7,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
1 7,3,3,3,3,3,3,3,2,2,2,2,2,2,2
1 7,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
1 7,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
1 7,4,2,2,2,2,2,2,2,2,2,2,2,2
1 7,4,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,4,3,2,2,2,2,2,2
1 7,4,3,2,2,2,2,2,2,2
1 7,4,3,2,2,2,2,2,2,2,2
1 7,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,4,3,3,3,3,3,2,2,2,2,2
1 7,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
1 7,4,3,3,3,3,3,3,2,2,2
1 7,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2
1 7,4,4,2,2,2,2,2,2,2,2,2,2
1 7,4,4,2,2,2,2,2,2,2,2,2,2,2
1 7,4,4,2,2,2,2,2,2,2,2,2,2,2,2
1 7,4,4,3,2,2,2,2,2,2,2
1 7,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,4,4,3,3,3,3,2,2,2,2,2
1 7,4,4,3,3,3,3,2,2,2,2,2,2
1 7,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
1 7,4,4,3,3,3,3,3,2,2,2,2,2
1 7,4,4,3,3,3,3,3,2,2,2,2,2,2
1 7,4,4,3,3,3,3,3,2,2,2,2,2,2,2
1 7,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2
1 7,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2
1 7,4,4,4,2,2,2,2,2,2,2
1 7,4,4,4,2,2,2,2,2,2,2,2
1 7,4,4,4,3,3,3,2,2,2,2,2,2,2
1 7,4,4,4,3,3,3,2,2,2,2,2,2,2,2
1 7,4,4,4,3,3,3,3,3,2,2,2,2,2
1 7,4,4,4,3,3,3,3,3,2,2,2,2,2,2
1 7,5,2,2,2,2,2,2,2,2,2,2,2
1 7,5,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,3,2,2,2,2,2,2,2,2
1 7,5,3,2,2,2,2,2,2,2,2,2
1 7,5,3,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,3,3,2,2,2,2,2,2,2,2
1 7,5,3,3,3,3,2,2,2,2,2
1 7,5,3,3,3,3,3,2,2,2,2,2,2
1 7,5,3,3,3,3,3,2,2,2,2,2,2,2
1 7,5,4,2,2,2,2,2,2,2,2,2,2
1 7,5,4,2,2,2,2,2,2,2,2,2,2,2
1 7,5,4,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,4,3,2,2,2,2,2,2,2,2,2
1 7,5,4,3,3,2,2,2,2,2,2
1 7,5,4,3,3,2,2,2,2,2,2,2,2,2
1 7,5,4,3,3,3,2,2,2,2,2,2,2
1 7,5,4,3,3,3,2,2,2,2,2,2,2,2,2
1 7,5,4,3,3,3,3,2,2,2,2,2,2,2,2
1 7,5,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2
1 7,5,4,3,3,3,3,3,2,2,2,2,2,2
1 7,5,4,4,3,2,2,2,2,2,2,2,2,2,2,2
1 7,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2
1 7,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,5,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,5,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,5,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,5,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,5,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,5,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,5,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,5,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,5,5,5,5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,6,2,2,2,2,2,2,2,2,2,2
1 7,6,3,2,2,2,2,2,2,2,2
1 7,6,3,2,2,2,2,2,2,2,2,2,2,2,2
1 7,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,6,3,3,3,2,2,2,2,2,2,2,2
1 7,6,3,3,3,2,2,2,2,2,2,2,2,2,2
1 7,6,4,3,2,2,2,2,2,2,2,2,2
1 7,6,4,3,3,2,2,2,2,2,2,2
1 7,6,4,3,3,2,2,2,2,2,2,2,2
1 7,6,4,3,3,3,2,2,2,2,2,2,2,2
1 7,6,5,2,2,2,2,2,2,2,2,2,2
1 7,6,5,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,6,5,5,5,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,3,2,2,2,2,2,2,2,2
1 7,7,3,3,2,2,2,2,2,2,2,2
1 7,7,3,3,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,5,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,5,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,5,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,5,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 7,7,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,2,2,2,2,2,2,2,2,2,2,2,2
1 8,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,3,3,2,2,2,2,2,2,2
1 8,3,3,2,2,2,2,2,2,2,2
1 8,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,3,3,3,2,2,2,2,2,2
1 8,3,3,3,2,2,2,2,2,2,2
1 8,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,3,3,3,3,3,2,2,2,2,2,2
1 8,3,3,3,3,3,2,2,2,2,2,2,2
1 8,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
1 8,4,2,2,2,2,2,2,2,2,2,2
1 8,4,2,2,2,2,2,2,2,2,2,2,2,2
1 8,4,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,4,3,2,2,2,2,2,2,2,2
1 8,4,3,3,2,2,2,2,2,2
1 8,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,4,3,3,3,2,2,2,2,2,2
1 8,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,4,3,3,3,3,2,2,2,2,2,2
1 8,4,3,3,3,3,2,2,2,2,2,2,2,2,2
1 8,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
1 8,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,4,3,3,3,3,3,2,2,2,2,2,2,2
1 8,4,3,3,3,3,3,3,2,2,2,2,2,2,2
1 8,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2
1 8,4,4,2,2,2,2,2,2,2,2,2,2,2
1 8,4,4,3,2,2,2,2,2,2,2,2,2,2
1 8,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,4,4,3,3,2,2,2,2,2,2,2
1 8,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,4,4,3,3,3,2,2,2,2,2,2
1 8,4,4,3,3,3,3,2,2,2,2,2,2,2,2
1 8,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,4,4,3,3,3,3,3,2,2,2,2,2,2
1 8,4,4,3,3,3,3,3,2,2,2,2,2,2,2
1 8,4,4,4,3,2,2,2,2,2,2,2,2,2
1 8,4,4,4,3,2,2,2,2,2,2,2,2,2,2
1 8,4,4,4,3,3,2,2,2,2,2,2,2,2
1 8,4,4,4,3,3,2,2,2,2,2,2,2,2,2
1 8,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2
1 8,4,4,4,3,3,3,2,2,2,2,2,2,2
1 8,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2
1 8,5,2,2,2,2,2,2,2,2,2,2,2
1 8,5,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,5,3,3,2,2,2,2,2,2,2,2
1 8,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,5,3,3,3,3,2,2,2,2,2,2,2,2
1 8,5,3,3,3,3,3,3,2,2,2,2,2
1 8,5,3,3,3,3,3,3,2,2,2,2,2,2
1 8,5,4,3,2,2,2,2,2,2,2
1 8,5,4,3,2,2,2,2,2,2,2,2,2
1 8,5,4,3,3,2,2,2,2,2,2,2,2
1 8,5,4,3,3,2,2,2,2,2,2,2,2,2
1 8,5,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,5,4,3,3,3,2,2,2,2,2,2,2,2,2
1 8,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2
1 8,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
1 8,5,4,4,3,2,2,2,2,2,2,2,2,2,2,2
1 8,5,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,5,4,4,3,3,3,2,2,2,2,2,2,2
1 8,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2
1 8,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
1 8,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2
1 8,6,3,3,2,2,2,2,2,2,2,2,2,2
1 8,6,3,3,3,2,2,2,2,2,2,2,2,2
1 8,6,4,2,2,2,2,2,2,2
1 8,6,4,3,3,3,2,2,2,2,2
1 8,6,4,3,3,3,2,2,2,2,2,2,2,2
1 8,7,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,7,5,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,7,5,5,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,7,5,5,5,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,7,5,5,5,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,7,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 8,7,5,5,5,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 9,3,2,2,2,2,2,2,2,2,2,2
1 9,3,2,2,2,2,2,2,2,2,2,2,2
1 9,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 9,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 9,3,3,2,2,2,2,2,2,2,2,2,2
1 9,3,3,2,2,2,2,2,2,2,2,2,2,2
1 9,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 9,3,3,3,3,2,2,2,2,2,2,2,2
1 9,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
1 9,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
1 9,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 9,3,3,3,3,3,3,2,2,2,2,2,2
1 9,3,3,3,3,3,3,2,2,2,2,2,2,2
1 9,3,3,3,3,3,3,2,2,2,2,2,2,2,2
1 9,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
1 9,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
1 9,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
1 9,3,3,3,3,3,3,3,2,2,2,2,2,2,2
1 9,3,3,3,3,3,3,3,3,2,2,2,2
1 9,4,2,2,2,2,2,2,2,2,2
1 9,4,2,2,2,2,2,2,2,2,2,2,2
1 9,4,3,2,2,2,2,2,2,2
1 9,4,3,2,2,2,2,2,2,2,2,2
1 9,4,3,3,3,2,2,2,2,2,2,2
1 9,4,3,3,3,2,2,2,2,2,2,2,2,2
1 9,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
1 9,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
1 9,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 9,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 9,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 9,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
1 9,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 9,4,3,3,3,3,3,3,2,2,2,2,2
1 9,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
1 9,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2
1 9,4,4,3,3,2,2,2,2,2,2,2,2
1 9,4,4,3,3,2,2,2,2,2,2,2,2,2
1 9,4,4,3,3,2,2,2,2,2,2,2,2,2,2
1 9,4,4,3,3,3,2,2,2,2,2,2,2
1 9,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2
1 9,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 9,4,4,3,3,3,3,2,2,2,2,2,2,2,2
1 9,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
1 9,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
1 9,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 9,4,4,3,3,3,3,3,2,2,2,2,2
1 9,4,4,3,3,3,3,3,2,2,2,2,2,2,2
1 9,4,4,3,3,3,3,3,3,2,2
1 9,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2
1 9,4,4,4,3,2,2,2,2,2,2,2,2
1 9,4,4,4,3,3,2,2,2,2,2,2,2,2,2
1 9,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 9,5,2,2,2,2,2,2,2,2,2,2,2,2,2
1 9,5,3,2,2,2,2,2,2,2,2,2,2,2
1 9,5,3,2,2,2,2,2,2,2,2,2,2,2,2
1 9,5,3,3,3,2,2,2,2,2,2,2
1 9,5,3,3,3,2,2,2,2,2,2,2,2
1 9,5,4,3,2,2,2,2,2,2,2,2,2,2
1 9,5,4,3,3,2,2,2,2,2,2,2,2,2
1 9,5,4,3,3,3,2,2,2,2,2,2
1 9,5,4,3,3,3,3,2,2,2,2
1 9,5,4,4,3,2,2,2,2,2,2,2,2
1 9,5,5,5,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1 9,5,5,5,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
1 9,5,5,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
1 9,5,5,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
